$cbo,$loc,$dam,$wmc,$dit,$ic,$amc,$moa,$<bug
10,198,0.0,8,1,0,23.75,0,F
11,2,0.0,2,1,0,0.0,0,F
5,34,1.0,4,1,0,7.0,1,F
6,63,0.0,4,1,0,14.75,0,F
13,20,0.0,11,1,0,0.727272727,1,F
6,27,1.0,4,2,0,5.5,1,F
9,228,1.0,5,2,1,44.0,2,F
3,67,1.0,11,1,0,4.909090909,1,F
8,28,1.0,6,1,0,3.333333333,1,F
6,8,0.0,2,1,0,3.0,0,F
10,205,1.0,16,1,0,11.6875,0,F
7,243,1.0,22,4,2,9.590909091,0,F
9,40,1.0,7,1,0,4.428571429,1,F
6,58,0.5,4,1,0,13.0,1,F
4,43,0.0,2,1,1,20.5,0,F
9,150,1.0,12,2,1,10.83333333,2,F
5,21,1.0,4,2,0,4.0,1,F
16,77,0.833333333,11,1,0,5.454545455,3,F
15,2,0.0,2,1,0,0.0,0,F
8,108,1.0,5,6,1,20.4,0,F
17,620,1.0,37,4,2,15.35135135,0,F
17,380,1.0,13,6,4,28.15384615,0,F
3,10,0.0,2,2,0,4.0,0,F
10,206,1.0,13,2,1,14.69230769,2,F
6,1,0.0,1,1,0,0.0,0,F
14,127,1.0,15,1,0,7.0,2,F
10,489,0.0,5,1,0,96.8,0,F
37,20,0.0,20,1,0,0.0,0,F
6,180,1.0,6,1,0,28.83333333,0,F
6,110,1.0,8,5,1,12.375,0,F
11,41,1.0,5,1,0,6.8,1,F
6,1,0.0,1,1,0,0.0,0,F
5,29,1.0,5,1,0,4.6,1,F
17,347,1.0,12,1,0,27.83333333,0,F
4,31,1.0,4,1,0,6.25,2,F
5,83,1.0,10,2,0,7.2,1,F
5,76,1.0,6,2,1,11.5,0,F
4,31,0.0,5,2,1,5.2,0,F
2,21,1.0,4,3,0,4.0,0,F
15,660,1.0,32,4,2,19.21875,0,F
4,78,1.0,5,5,2,14.2,0,F
21,162,1.0,13,1,1,11.23076923,1,F
11,127,1.0,9,2,1,12.88888889,1,F
2,102,1.0,2,4,1,49.0,0,F
11,101,0.0,3,1,0,32.66666667,0,F
14,75,1.0,5,1,0,13.8,0,F
8,155,1.0,3,1,0,50.0,0,F
11,107,1.0,11,1,0,8.272727273,0,F
9,59,0.0,2,1,0,28.5,0,F
15,335,1.0,8,2,1,40.5,1,F
4,60,1.0,9,1,0,5.222222222,2,F
5,223,0.0,3,1,0,73.33333333,0,F
13,201,1.0,3,1,0,64.0,3,F
8,1,0.0,1,1,0,0.0,0,F
6,95,1.0,11,5,2,7.545454545,0,F
7,145,1.0,7,4,0,19.28571429,0,F
9,141,0.0,8,1,0,16.625,0,F
9,558,1.0,22,4,0,24.0,0,F
24,7,0.0,2,1,0,0.0,0,F
9,190,1.0,4,4,3,46.25,0,F
7,38,1.0,3,2,0,11.0,2,F
6,65,0.5,9,1,0,6.0,2,F
3,17,0.0,3,6,1,4.666666667,0,F
7,311,1.0,19,2,0,15.0,0,F
2,22,1.0,3,1,0,6.0,1,F
4,60,1.0,3,1,0,17.66666667,4,F
28,508,1.0,40,1,0,11.475,3,F
52,8,0.0,8,1,0,0.0,0,F
6,42,1.0,6,1,0,5.833333333,1,F
102,548,1.0,20,2,1,26.05,1,F
12,242,1.0,13,3,1,17.23076923,1,F
7,172,1.0,16,4,0,9.3125,0,F
11,217,1.0,15,2,1,13.26666667,2,F
72,382,0.5,21,1,0,16.71428571,0,F
8,85,1.0,12,1,1,5.583333333,3,F
63,25,0.0,23,1,0,0.0,0,F
15,413,1.0,17,4,1,22.82352941,0,F
15,542,1.0,25,3,1,20.52,0,F
11,349,1.0,11,1,0,30.45454545,1,F
2,53,1.0,10,1,0,3.9,0,F
2,35,1.0,4,1,0,7.25,2,F
10,214,1.0,10,2,0,20.0,0,F
8,37,0.5,2,3,0,16.5,1,F
10,207,1.0,14,1,0,13.21428571,0,F
3,274,1.0,7,1,0,37.85714286,0,F
16,149,1.0,15,1,0,8.466666667,2,F
3,61,0.0,6,6,1,9.166666667,0,F
8,265,1.0,16,4,2,15.125,0,F
10,267,1.0,13,2,0,19.15384615,0,F
2,20,0.0,4,4,0,4.0,0,F
4,6,0.0,6,1,0,0.0,0,F
8,214,1.0,15,1,1,12.86666667,3,F
8,1,0.0,1,1,0,0.0,0,F
3,60,1.0,9,1,0,5.111111111,0,F
41,148,0.75,9,1,1,15.0,0,F
10,166,1.0,9,2,0,17.22222222,1,F
33,1086,1.0,56,1,0,18.07142857,5,F
4,41,1.0,4,2,1,9.0,1,F
9,4,0.0,4,1,0,0.0,0,F
29,1168,0.0,8,1,0,145.0,0,F
4,130,1.0,10,1,0,11.4,0,F
10,8,0.0,8,1,0,0.0,0,F
7,141,1.0,6,4,1,22.16666667,0,F
22,2,0.0,2,1,0,0.0,0,F
3,26,1.0,2,1,0,11.5,0,F
1,34,1.0,6,1,0,4.333333333,0,F
12,121,1.0,8,1,1,13.625,1,F
38,7,0.0,7,1,0,0.0,0,F
10,258,1.0,6,1,0,41.5,0,F
12,785,1.0,20,3,2,37.95,0,F
15,1573,1.0,54,2,1,27.7962963,1,F
5,222,1.0,8,2,0,26.5,0,F
15,57,1.0,11,1,0,3.818181818,3,F
2,103,0.333333333,5,1,0,19.0,0,F
3,97,0.0,4,1,0,23.25,0,F
4,57,1.0,3,2,0,17.66666667,0,F
7,1102,0.0,16,1,0,67.8125,0,F
15,570,1.0,21,4,2,25.76190476,0,F
2,97,1.0,5,1,0,18.2,0,F
2,20,1.0,5,1,0,2.8,1,F
6,41,0.666666667,3,3,0,11.66666667,2,F
9,27,0.0,2,6,1,12.5,0,F
3,3,0.0,3,1,0,0.0,0,F
28,13,0.0,13,1,0,0.0,0,F
14,436,1.0,27,4,1,14.74074074,0,F
4,28,0.0,5,5,1,4.6,0,F
9,30,1.0,5,1,0,4.6,1,F
5,12,0.0,2,5,1,5.0,0,F
47,2754,0.9,46,2,2,58.65217391,1,F
13,5,0.0,5,1,0,0.0,0,F
5,56,1.0,7,1,0,6.714285714,1,F
5,20,1.0,5,1,0,2.8,1,F
9,2,0.0,2,1,0,0.0,0,F
5,24,1.0,2,2,0,10.0,1,F
9,77,0.0,4,1,0,18.0,1,F
15,3,0.0,3,1,0,0.0,0,F
4,98,0.75,6,3,0,14.66666667,0,F
8,14,1.0,2,2,0,5.5,1,F
2,24,1.0,4,1,0,4.75,1,F
12,35,1.0,5,1,0,5.8,1,F
11,20,1.0,3,1,0,5.0,0,F
5,60,0.0,2,2,0,29.0,0,F
9,89,1.0,5,1,0,16.4,1,F
2,95,1.0,11,1,0,7.272727273,0,F
12,326,1.0,19,4,1,15.84210526,0,F
2,35,1.0,4,1,0,7.25,2,F
3,15,0.0,3,2,2,4.0,0,F
6,55,1.0,6,1,0,7.833333333,1,F
3,15,0.5,2,2,0,5.5,1,F
11,3,0.0,3,1,0,0.0,0,F
19,1006,1.0,45,1,0,21.04444444,5,F
4,17,0.5,2,3,0,6.5,1,F
3,51,1.0,7,1,0,5.857142857,0,F
6,107,1.0,10,1,1,9.3,0,F
26,8,0.0,8,1,0,0.0,0,F
10,2,0.0,2,1,0,0.0,0,F
5,173,0.0,10,1,1,16.3,0,F
16,187,0.0,16,2,1,10.5,1,F
4,2,0.0,2,1,0,0.0,0,F
8,101,1.0,5,6,1,18.8,0,F
3,14,0.0,3,1,0,3.333333333,1,F
14,642,1.0,43,4,3,13.46511628,0,F
8,338,0.0,5,2,1,66.6,0,F
6,133,1.0,15,1,0,7.733333333,1,F
12,782,1.0,21,4,3,36.0,0,F
2,97,1.0,14,1,0,5.5,0,F
4,53,0.0,3,2,1,16.33333333,1,F
7,148,0.5,7,1,0,19.28571429,0,F
7,303,1.0,12,2,1,22.0,1,F
3,15,1.0,2,3,0,6.0,0,F
8,169,1.0,12,1,0,12.75,0,F
14,10,0.0,10,1,0,0.0,0,F
14,349,0.6,24,6,5,13.33333333,0,F
8,134,1.0,13,3,2,9.076923077,0,F
47,3559,1.0,103,1,1,33.27184466,6,F
3,36,1.0,6,1,0,4.666666667,0,F
5,21,1.0,4,2,0,4.0,1,F
9,4,0.0,4,1,0,0.0,0,F
8,1,0.0,1,1,0,0.0,0,F
8,127,1.0,5,1,0,23.6,2,F
2,86,1.0,7,1,0,10.42857143,0,F
7,141,1.0,21,1,0,5.238095238,2,F
2,11,0.0,2,2,1,4.5,0,F
10,130,0.0,8,1,0,15.25,0,F
16,504,1.0,32,4,1,14.34375,0,F
4,208,1.0,13,1,0,14.84615385,0,F
6,144,0.0,2,1,0,71.0,0,F
4,1,0.0,1,1,0,0.0,0,F
10,257,1.0,25,1,0,9.08,1,F
12,126,1.0,8,1,0,14.625,1,F
26,41,1.0,5,1,0,6.8,1,F
7,34,0.0,3,1,0,10.33333333,0,F
6,27,1.0,4,3,1,5.5,1,F
6,32,1.0,5,1,0,5.0,1,F
4,8,0.0,2,1,0,2.5,1,F
4,1,0.0,1,1,0,0.0,0,F
27,138,1.0,10,1,1,12.3,1,F
3,67,0.0,12,5,1,4.583333333,0,F
14,75,1.0,5,1,0,13.8,0,F
17,1589,1.0,54,2,0,27.7962963,1,F
4,61,0.8,5,3,0,10.2,0,F
9,67,1.0,10,1,0,5.3,1,F
6,221,1.0,8,2,0,26.375,0,F
4,19,1.0,2,2,0,8.0,1,F
8,188,1.0,20,1,0,8.0,1,F
3,16,1.0,3,1,0,4.0,0,F
9,125,1.0,3,1,0,39.66666667,2,F
16,336,1.0,8,2,1,40.625,1,F
5,110,1.0,7,3,0,14.0,0,F
16,159,0.0,3,5,0,52.0,0,F
6,88,1.0,5,6,2,16.2,0,F
20,476,0.0,9,3,0,51.88888889,0,F
27,1851,0.0,16,1,0,114.6875,0,F
5,100,0.0,4,1,0,24.0,0,F
10,608,1.0,23,5,3,25.08695652,0,F
7,288,0.5,7,1,0,39.85714286,1,F
10,207,1.0,10,4,1,19.3,0,F
4,57,1.0,3,2,0,17.66666667,0,F
5,1,0.0,1,1,0,0.0,0,F
4,215,1.0,11,1,0,18.0,0,F
2,23,0.0,4,1,0,4.5,1,F
2,95,1.0,11,1,0,7.272727273,0,F
23,638,1.0,18,1,0,34.33333333,0,F
7,85,1.0,11,5,2,6.636363636,0,F
4,41,1.0,4,2,1,9.0,1,F
7,171,1.0,12,2,1,12.75,1,F
6,48,0.0,5,5,0,8.6,0,F
6,67,1.0,11,1,0,4.909090909,1,F
28,172,1.0,13,1,1,12.0,1,F
3,48,1.0,5,1,0,8.4,0,F
11,77,0.0,4,1,0,18.0,1,F
83,9,0.0,9,1,0,0.0,0,F
3,68,0.0,7,6,1,8.714285714,0,F
9,286,1.0,15,2,1,17.86666667,1,F
33,394,1.0,27,1,0,13.37037037,5,F
97,33,0.0,31,1,0,0.0,0,F
17,127,1.0,9,2,1,12.88888889,1,F
19,659,0.933333333,37,4,2,16.40540541,0,F
3,98,0.0,2,1,0,48.0,0,F
30,412,1.0,2,1,0,203.5,3,F
6,145,1.0,8,1,0,16.375,0,F
6,60,1.0,5,2,0,10.2,2,F
10,1034,0.0,7,1,0,146.7142857,0,F
2,97,1.0,14,1,0,5.5,0,F
4,183,1.0,20,1,0,7.95,0,F
13,149,1.0,5,1,0,28.6,1,F
14,204,1.0,13,2,1,14.53846154,2,F
7,939,1.0,12,1,0,76.33333333,0,F
2,99,1.0,2,4,1,47.5,0,F
7,158,1.0,5,1,0,30.2,0,F
27,6,0.0,6,1,0,0.0,0,F
4,17,0.0,4,1,0,3.0,1,F
7,74,1.0,11,2,0,5.272727273,1,F
19,12,0.0,12,1,0,0.0,0,F
7,1,0.0,1,1,0,0.0,0,F
21,6,0.0,6,1,0,0.0,0,F
15,326,1.0,2,1,0,161.0,2,F
5,20,0.0,4,4,0,4.0,0,F
6,112,0.0,5,1,0,21.4,0,F
2,69,1.0,8,1,0,7.375,0,F
2,97,1.0,5,1,0,18.2,0,F
3,24,1.0,5,1,0,3.4,2,F
2,21,1.0,3,1,0,5.666666667,0,F
12,24,1.0,4,1,0,4.5,1,F
3,48,0.0,4,2,1,11.0,0,F
3,17,0.0,3,6,1,4.666666667,0,F
8,8,0.0,8,1,0,0.0,0,F
1,34,1.0,6,1,0,4.333333333,0,F
8,155,1.0,3,1,0,50.0,0,F
5,40,0.666666667,3,3,0,11.33333333,2,F
4,9,0.0,1,3,0,7.0,0,F
15,896,1.0,47,4,2,17.63829787,0,F
16,354,0.6,22,2,1,14.86363636,2,F
3,14,0.5,2,2,0,5.0,1,F
7,34,1.0,5,1,0,5.6,0,F
6,12,0.0,2,5,1,5.0,0,F
4,68,0.5,11,1,0,5.0,0,F
31,895,1.0,59,1,0,14.15254237,1,F
10,304,1.0,25,4,2,10.72,0,F
6,165,1.0,6,2,1,26.16666667,0,F
1,103,1.0,5,1,0,19.2,0,F
13,201,1.0,3,1,0,64.0,3,F
14,298,1.0,13,1,0,21.53846154,0,F
3,15,1.0,2,3,0,6.0,0,F
2,1,0.0,1,1,0,0.0,0,F
4,76,1.0,5,5,2,13.8,0,F
12,51,1.0,10,1,0,3.9,1,F
9,373,1.0,21,2,0,16.33333333,0,F
8,20,1.0,3,1,0,5.0,0,F
8,1160,0.357142857,25,1,0,44.84,1,F
6,18,0.0,2,3,0,8.0,0,F
7,284,0.47826087,23,2,0,10.34782609,2,F
12,281,0.75,21,1,0,12.19047619,1,F
30,707,1.0,22,4,4,31.04545455,1,F
12,797,1.0,21,3,2,36.57142857,0,F
7,228,1.0,9,2,1,24.22222222,0,F
6,360,1.0,12,2,1,26.58333333,1,F
16,3,0.0,3,1,0,0.0,0,F
34,1,0.0,1,1,0,0.0,0,F
4,21,0.5,2,3,0,8.5,1,F
23,77,0.833333333,11,1,0,5.454545455,3,F
3,18,0.0,3,2,1,4.666666667,1,F
4,2,0.0,2,1,0,0.0,0,F
6,136,1.0,25,1,0,3.96,1,F
23,6,0.0,6,1,0,0.0,0,F
5,145,1.0,8,2,0,16.5,0,F
3,5,0.0,1,3,0,4.0,0,F
2,14,1.0,3,1,0,3.333333333,0,F
2,53,1.0,10,1,0,3.9,0,F
35,99,1.0,12,1,1,6.833333333,4,F
4,60,1.0,9,1,0,5.222222222,2,F
3,2,0.0,2,1,0,0.0,0,F
16,243,1.0,13,3,1,17.23076923,1,F
27,543,1.0,30,1,0,16.8,1,F
4,8,0.0,2,2,1,3.0,0,F
10,225,1.0,14,1,0,14.71428571,2,F
28,691,1.0,13,1,0,52.07692308,1,F
9,170,1.0,12,1,0,12.83333333,0,F
7,1,0.0,1,1,0,0.0,0,F
57,23,0.0,23,1,0,0.0,0,F
12,104,1.0,15,2,0,5.466666667,1,F
5,146,0.0,9,1,1,15.22222222,0,F
21,224,1.0,21,2,1,9.476190476,1,F
6,67,0.0,3,1,1,21.33333333,0,F
111,2701,0.9375,157,1,0,15.89808917,12,F
57,277,0.714285714,14,1,1,18.28571429,0,F
11,72,1.0,5,1,0,13.2,1,F
11,6,0.0,6,1,0,0.0,0,F
2,22,1.0,3,1,0,6.0,1,F
62,25,0.0,25,1,0,0.0,0,F
11,54,1.0,8,1,0,5.5,1,F
9,52,0.5,6,1,0,7.0,3,F
6,78,1.0,11,1,0,5.636363636,1,F
33,670,0.6,32,3,0,19.78125,0,F
6,167,1.0,17,1,0,8.470588235,0,F
7,53,0.0,3,1,0,16.66666667,0,F
54,7,0.0,7,1,0,0.0,0,F
13,197,1.0,9,2,0,20.66666667,1,F
17,488,0.666666667,28,6,4,16.21428571,0,F
7,1,0.0,1,1,0,0.0,0,F
3,40,1.0,6,2,1,5.5,0,F
4,2,0.0,2,1,0,0.0,0,F
16,435,1.0,4,1,0,107.5,1,F
15,68,0.25,4,1,0,15.0,3,F
5,334,1.0,5,1,0,65.0,0,F
20,623,1.0,14,5,3,43.35714286,0,F
3,63,1.0,6,1,0,9.166666667,1,F
9,197,1.0,10,2,0,18.3,0,F
3,8,0.0,1,3,0,6.0,0,F
2,35,1.0,4,1,0,7.25,2,F
106,124,0.285714286,20,1,0,4.85,1,F
8,19,0.0,19,1,0,0.0,0,F
9,4,0.0,2,1,0,0.0,0,F
25,420,0.0,13,6,4,31.30769231,0,F
5,18,0.0,3,2,1,4.666666667,1,F
1,10,0.0,2,2,1,4.0,0,F
7,58,0.5,4,1,0,13.0,1,F
3,60,1.0,9,1,0,5.111111111,0,F
11,3,0.0,3,1,0,0.0,0,F
8,5,0.0,5,1,0,0.0,0,F
4,18,0.0,3,2,1,5.0,0,F
3,3,0.0,3,1,0,0.0,0,F
10,207,1.0,14,1,0,13.21428571,0,F
9,89,1.0,5,1,0,16.4,1,F
4,11,0.5,1,3,0,8.0,0,F
5,157,1.0,9,1,0,16.22222222,0,F
8,1,0.0,1,1,0,0.0,0,F
6,242,0.0,4,1,0,59.25,0,F
34,7,0.0,2,1,0,0.0,0,F
6,165,1.0,17,1,0,8.588235294,1,F
5,3,0.0,3,1,0,0.0,0,F
6,636,1.0,19,1,0,32.15789474,1,F
6,55,1.0,6,1,0,7.833333333,1,F
8,143,1.0,6,4,1,22.5,0,F
7,27,1.0,4,3,1,5.5,1,F
4,30,0.4,2,3,0,11.5,0,F
37,513,1.0,30,1,0,15.86666667,3,F
20,192,0.0,10,1,0,18.2,0,F
6,204,1.0,8,6,2,24.375,0,F
6,46,0.0,2,2,0,22.0,0,F
2,23,0.0,4,1,0,4.5,1,F
24,2,0.0,2,1,0,0.0,0,F
9,176,1.0,10,5,2,16.2,0,F
3,5,0.0,1,5,0,4.0,0,F
3,77,1.0,7,1,0,9.285714286,4,F
6,227,1.0,6,1,0,36.66666667,0,F
5,1,0.0,1,1,0,0.0,0,F
6,74,1.0,4,1,0,17.0,0,F
7,87,0.666666667,3,3,0,27.0,2,F
26,1096,1.0,30,3,1,35.43333333,0,F
7,64,0.666666667,3,3,0,19.33333333,1,F
11,44,1.0,6,1,0,6.0,1,F
6,1,0.0,1,1,0,0.0,0,F
8,134,1.0,13,3,2,9.076923077,0,F
13,24,0.0,13,1,0,0.615384615,1,F
10,3,0.0,3,1,0,0.0,0,F
14,4,0.0,1,2,0,3.0,0,F
6,2,0.0,2,1,0,0.0,0,F
16,2,0.0,2,1,0,0.0,0,F
7,147,1.0,7,4,0,19.57142857,0,F
22,267,0.333333333,13,1,0,19.30769231,0,F
7,60,1.0,4,2,0,13.75,0,F
11,1308,1.0,10,1,0,129.7,0,F
3,51,1.0,7,1,0,5.857142857,0,F
5,2,0.0,2,1,0,0.0,0,F
6,8,0.0,2,1,0,3.0,0,F
4,144,1.0,5,2,1,27.2,0,F
4,31,1.0,4,1,0,6.25,2,F
22,72,0.0,4,1,0,17.0,0,F
7,1,0.0,1,1,0,0.0,0,F
5,18,0.0,2,3,0,8.0,0,F
3,15,0.0,3,2,2,4.0,0,F
21,677,0.9,29,3,2,22.0,1,F
7,105,1.0,5,1,0,19.4,1,F
33,350,0.8125,33,2,0,9.121212121,1,F
4,95,0.0,3,2,2,30.33333333,1,F
6,33,1.0,3,2,0,9.666666667,1,F
5,9,0.0,1,3,0,7.0,0,F
16,8,0.0,8,1,0,0.0,0,F
19,451,1.0,15,1,0,28.26666667,3,F
5,34,1.0,5,2,1,5.6,0,F
15,413,1.0,17,3,1,22.82352941,0,F
2,35,1.0,4,1,0,7.25,2,F
6,94,0.5,6,4,1,14.0,0,F
4,54,0.5,2,3,0,25.0,1,F
5,8,0.0,2,2,1,3.0,0,F
2,67,0.0,7,4,2,8.571428571,0,F
3,26,1.0,2,1,0,11.5,0,F
6,1,0.0,1,1,0,0.0,0,F
11,149,1.0,8,5,1,17.25,0,F
5,14,1.0,2,4,0,5.5,1,F
17,25,1.0,5,2,0,3.6,0,F
6,18,0.0,3,2,1,4.666666667,1,F
13,140,0.5,5,1,0,26.6,1,F
17,583,1.0,15,3,1,37.8,0,F
22,1209,0.0,9,1,0,133.2222222,0,F
9,1,0.0,1,1,0,0.0,0,F
19,2,0.0,2,1,0,0.0,0,F
2,86,1.0,6,2,0,13.0,0,F
5,84,1.0,10,2,0,7.3,1,F
11,267,1.0,13,2,0,19.15384615,0,F
20,3,0.0,3,1,0,0.0,0,F
8,14,1.0,2,2,0,5.5,1,F
10,309,1.0,19,6,3,14.57894737,0,F
5,39,1.0,3,2,0,11.33333333,2,F
12,230,1.0,14,1,0,15.35714286,0,F
6,70,1.0,3,2,0,21.66666667,2,F
10,164,1.0,14,2,1,10.14285714,1,F
7,32,0.25,4,1,0,6.0,0,F
2,21,1.0,4,3,0,4.0,0,F
3,12,0.0,3,2,0,3.0,0,F
